BFS_NR_GEMEINDE;GEMEINDE_NAME;Jahr;Abschoepfung_in_CHF;Auszahlung_Mindestausstattung_in_CHF;Lastenausgleich_Sozialhilfe_in_CHF;Lastenausgleich_Flaeche_in_CHF;Lastenausgleich_Besondere_Belastungen_in_CHF;Auszahlung_Abschoepfung_in_CHF
4566;Frauenfeld ;2014;670843;;-968840; ;;-297997
4571;Gachnang;2014;46315;; ; ;;46315
4651;Gottlieben;2014;51193;; ; ;;51193
4656;GŸttingen;2014;;;;;;
4486;Hauptwil-Gottshaus;2014;;-256529; ; ;;-256529
4416;Hefenhofen;2014;;-241987;-49360; ;;-291347
4811;Herdern;2014;;; ;-204102;;-204102
4495;Hohentannen;2014;;-178448; ;-127926;;-306374
4816;Homburg;2014;;; ;-339480;;-339480
4421;Horn;2014;217987;; ; ;;217987
4590;HŸttlingen;2014;;-124213; ;-143927;;-268140
4821;HŸttwilen;2014;4339;; ;-190664;;-186325
4666;Kemmental;2014;;; ;-353467;;-353467
4426;Kesswil;2014;2096;; ; ;;2096
4501;Kradolf-Schšnenberg;2014;;-505246; ; ;;-505246
4671;Kreuzlingen;2014;127050;;-1158080; ;;-1031030
4681;Langrickenbach;2014;;-338710; ;-140645;;-479355
4683;Lengwil;2014;;;-11856; ;;-11856
4741;Lommis;2014;;; ;-40227;;-40227
4826;Mammern;2014;45351;; ;-52699;;-7348
4941;MŠrstetten;2014;;;;;;
4591;Matzingen;2014;;;;;;
4831;MŸllheim;2014;;;;;;
4746;MŸnchwilen;2014;;;;;;
4691;MŸnsterlingen;2014;167402;; ; ;;167402
4601;Neunforn;2014;27174;; ;-131100;;-103926
4841;Pfyn ;2014;;-109471; ;-44367;;-153838
4846;Raperswilen;2014;;-63902; ;-99429;;-163331
4751;Rickenbach;2014;;;-86016; ;;-86016
4431;Roggwil;2014;80040;; ; ;;80040
4436;Romanshorn;2014;;-370443; ; ;;-370443
4851;Salenstein;2014;421617;; ; ;;421617
4441;Salmsach;2014;;-299602; ; ;;-299602
4546;Schlatt ;2014;;-60243; ;-144917;;-205161
4756;Schšnholzerswilen;2014;;-361873; ;-127771;;-489644
4761;Sirnach ;2014;;;;;;
4446;Sommeri;2014;;-116655; ;-46460;;-163115
4864;Steckborn;2014;;;-29080; ;;-29080
4606;Stettfurt;2014;55958;; ; ;;55958
