BFS_NR_GEMEINDE;GEMEINDE_NAME;Jahr;Auszahlung_Abschoepfung_in_CHF;Auszahlung_Abschoepfung_in_CHF_pro_Einwohner;;;;;;
4551;Aadorf;2012;;;;;;;;
4711;Affeltrangen;2012;-30160;-13;;;;;;
4641;Altnau;2012;5811;3;;;;;;
4881;Amlikon-Bissegg;2012;-442826;-346;;;;;;
4461;Amriswil;2012;-3388472;-275;;;;;;
4401;Arbon;2012;-2595072;-190;;;;;;
4536;Basadingen-Schlattingen;2012;-192970;-115;;;;;;
4891;Berg;2012;;;;;;;;
4801;Berlingen;2012;43068;52;;;;;;
4716;Bettwiesen;2012;1032;1;;;;;;
4721;Bichelsee-Balterswil;2012;;;;;;;;
4901;Birwinken;2012;-535835;-422;;;;;;
4471;Bischofszell;2012;-220280;-40;;;;;;
4643;Bottighofen;2012;683408;324;;;;;;
4723;Braunau;2012;-283283;-401;;;;;;
4911;Buerglen;2012;;;;;;;;
4921;Bussnang;2012;-136292;-63;;;;;;
4545;Diessenhofen;2012;-48018;-14;;;;;;
4406;Dozwil;2012;-40690;-63;;;;;;
4411;Egnach;2012;;;;;;;;
4476;Erlen;2012;-151972;-48;;;;;;
4646;Ermatingen;2012;265301;91;;;;;;
4806;Eschenz;2012;-185894;-113;;;;;;
4724;Eschlikon;2012;2846;1;;;;;;
4561;Felben-Wellhausen;2012;-20024;-8;;;;;;
4726;Fischingen;2012;-1029353;-403;;;;;;
4566;Frauenfeld;2012;-88132;-4;;;;;;
4571;Gachnang;2012;48705;14;;;;;;
4651;Gottlieben;2012;45267;144;;;;;;
4656;Guettingen;2012;4624;3;;;;;;
4486;Hauptwil-Gottshaus;2012;-376802;-207;;;;;;
4416;Hefenhofen;2012;-272906;-230;;;;;;
4811;Herdern;2012;-195822;-207;;;;;;
4495;Hohentannen;2012;-286234;-463;;;;;;
4816;Homburg;2012;-451433;-308;;;;;;
4421;Horn;2012;215934;83;;;;;;
4590;Huettlingen;2012;-309524;-380;;;;;;
4821;Huettwilen;2012;-221687;-145;;;;;;
4666;Kemmental;2012;-365792;-161;;;;;;
4426;Kesswil;2012;;;;;;;;
4501;Kradolf-Schoenenberg;2012;-565875;-171;;;;;;
4671;Kreuzlingen;2012;-158464;-8;;;;;;
4681;Langrickenbach;2012;-392110;-345;;;;;;
4683;Lengwil;2012;;;;;;;;
4741;Lommis;2012;-41888;-38;;;;;;
4826;Mammern;2012;-25072;-42;;;;;;
4941;Maerstetten;2012;;;;;;;;
4591;Matzingen;2012;;;;;;;;
4831;Muellheim;2012;-49292;-19;;;;;;
4746;Muenchwilen;2012;;;;;;;;
4691;Muensterlingen;2012;125399;42;;;;;;
4601;Neunforn;2012;-129832;-136;;;;;;
4841;Pfyn;2012;-191636;-98;;;;;;
4846;Raperswilen;2012;-167819;-419;;;;;;
4751;Rickenbach;2012;-183888;-72;;;;;;
4431;Roggwil;2012;66790;23;;;;;;
4436;Romanshorn;2012;;;;;;;;
4851;Salenstein;2012;365943;292;;;;;;
4441;Salmsach;2012;-222396;-168;;;;;;
4546;Schlatt;2012;-253042;-158;;;;;;
4756;Schoenholzerswilen;2012;-456919;-587;;;;;;
4761;Sirnach;2012;;;;;;;;
4446;Sommeri;2012;-206026;-400;;;;;;
4864;Steckborn;2012;-382224;-105;;;;;;
4606;Stettfurt;2012;52749;47;;;;;;
4506;Sulgen;2012;;;;;;;;
4696;Taegerwilen;2012;86479;22;;;;;;
4611;Thundorf;2012;-243984;-184;;;;;;
4776;Tobel-Taegerschen;2012;-80189;-58;;;;;;
4616;Uesslingen-Buch;2012;-196696;-184;;;;;;
4451;Uttwil;2012;20546;12;;;;;;
4871;Wagenhausen;2012;-227473;-141;;;;;;
4701;Waeldi;2012;-213323;-214;;;;;;
4781;Waengi;2012;;;;;;;;
4621;Warth-Weiningen;2012;147800;120;;;;;;
4946;Weinfelden;2012;181218;17;;;;;;
4951;Wigoltingen;2012;-189941;-87;;;;;;
4786;Wilen;2012;;;;;;;;
4791;Wuppenau;2012;-461686;-434;;;;;;
4511;Zihlschlacht-Sitterdorf;2012;15125;7;;;;;;
4551;Aadorf;2011;3380;0;;;;;;
4711;Affeltrangen;2011;-134153;-58;;;;;;
4641;Altnau;2011;1628;1;;;;;;
4881;Amlikon-Bissegg;2011;-310011;-246;;;;;;
4461;Amriswil;2011;-3325929;-274;;;;;;
4401;Arbon;2011;-1985588;-147;;;;;;
4536;Basadingen-Schlattingen;2011;-194810;-115;;;;;;
4891;Berg;2011;;;;;;;;
4801;Berlingen;2011;35411;42;;;;;;
4716;Bettwiesen;2011;;;;;;;;
4721;Bichelsee-Balterswil;2011;;;;;;;;
4901;Birwinken;2011;-562369;-433;;;;;;
4471;Bischofszell;2011;-349568;-64;;;;;;
4643;Bottighofen;2011;674069;322;;;;;;
4723;Braunau;2011;-265712;-388;;;;;;
4911;Buerglen;2011;;;;;;;;
4921;Bussnang;2011;-112384;-53;;;;;;
